Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
AC005943.2	ENSG00000267059.2	1.47	0.07	1.207	1.83E-11
AC005943.6	ENSG00000279009.1	0.22	0	0.287	8.39E-09
AC006011.4	ENSG00000244563.1	9.3	5.65	0.631	1.01E-29
AC006014.7	ENSG00000242073.2	0.31	0.6	-0.288	2.71E-13
AC006014.8	ENSG00000146722.11	0.47	1.05	-0.48	3.10E-27
AC006033.22	ENSG00000231916.1	0.11	0.15	-0.051	2.42E-02
AC006042.6	ENSG00000227719.1	0.61	0.84	-0.193	7.75E-04
AC006042.8	ENSG00000233264.2	0.13	0.44	-0.35	8.53E-49
AC006077.3	ENSG00000279799.1	0.86	2.17	-0.769	8.50E-38
AC006116.13	ENSG00000266932.1	0.03	0.05	-0.028	3.80E-06
AC006116.17	ENSG00000267549.5	0.08	0.1	-0.026	9.26E-03
AC006116.19	ENSG00000267298.1	0	0.12	-0.164	4.50E-40
AC006116.20	ENSG00000267710.5	0.14	1.01	-0.818	2.34E-129
AC006116.22	ENSG00000266907.1	0.02	0.05	-0.042	2.77E-27
AC006116.24	ENSG00000267776.1	0.22	0.7	-0.479	9.10E-43
AC006116.27	ENSG00000267459.1	1.13	1.64	-0.31	3.29E-06
AC006126.4	ENSG00000267045.1	0.91	1.97	-0.637	3.05E-34
AC006128.2	ENSG00000279716.1	2.31	13.45	-2.126	1.91E-81
AC006129.1	ENSG00000268355.1	0.18	0.91	-0.695	5.76E-113
AC006129.2	ENSG00000268027.5	1.85	3.01	-0.493	5.60E-17
AC006129.3	ENSG00000280014.1	0	0.07	-0.098	2.34E-13
AC006160.5	ENSG00000249502.1	0.06	0.16	-0.13	4.71E-25
AC006195.2	ENSG00000238090.1	0	0.06	-0.084	2.60E-33
AC006262.5	ENSG00000268621.5	0.05	0	0.07	1.19E-11
AC006272.1	ENSG00000269483.1	0.17	0.53	-0.387	1.81E-27
AC006272.2	ENSG00000268316.1	0.06	0.14	-0.105	1.27E-20
AC006273.4	ENSG00000272473.1	0.07	0.85	-0.79	4.58E-125
AC006273.5	ENSG00000267530.2	1.18	3.66	-1.096	4.92E-51
AC006277.2	ENSG00000253392.2	0.2	0.62	-0.433	1.62E-42
AC006277.3	ENSG00000279452.1	0.27	0.41	-0.151	6.31E-13
AC006378.2	ENSG00000236861.6	0	0.12	-0.164	6.25E-18
AC006386.1	ENSG00000279115.1	0.31	0	0.39	4.08E-40
AC006449.2	ENSG00000279119.1	22.461	34.329	-0.591	2.27E-24
AC006460.2	ENSG00000228509.5	0.06	0.11	-0.066	1.34E-01
AC006486.10	ENSG00000279539.1	0.13	0.11	0.026	1.85E-04
AC006538.1	ENSG00000261342.1	0.29	0.25	0.045	1.20E-03
AC006539.3	ENSG00000268070.1	0.04	0.1	-0.081	1.83E-03
AC006547.13	ENSG00000236540.7	1.68	4.95	-1.151	8.32E-120
AC006547.14	ENSG00000234409.6	0.21	1.4	-0.988	2.34E-97
AC006942.4	ENSG00000269194.1	0.93	2.51	-0.863	1.49E-79
AC006946.12	ENSG00000235328.1	0	0.52	-0.604	3.62E-46
AC006946.16	ENSG00000273203.1	0.11	0.08	0.04	9.58E-14
AC006946.17	ENSG00000273442.1	0.05	0	0.07	4.86E-05
AC006978.6	ENSG00000235859.5	5.06	8.34	-0.624	5.55E-45
AC006994.1	ENSG00000231063.1	0	0.12	-0.164	6.58E-46
AC006994.3	ENSG00000279317.1	0.02	0.1	-0.109	3.66E-35
AC007000.10	ENSG00000225726.1	0.11	0.22	-0.136	6.18E-17
AC007009.1	ENSG00000244239.1	4.95	1.92	1.027	7.34E-42
AC007036.5	ENSG00000251660.1	0.4	0.45	-0.051	4.54E-01
AC007036.6	ENSG00000227017.1	0.1	0.13	-0.039	3.92E-01
AC007038.7	ENSG00000229127.1	0.25	0.93	-0.627	9.80E-102
AC007040.11	ENSG00000258881.6	0.02	0.03	-0.014	1.61E-01
AC007041.2	ENSG00000235411.1	0.05	0.04	0.014	5.88E-04
AC007128.1	ENSG00000229970.3	0.23	0	0.299	1.08E-52
AC007163.3	ENSG00000237166.1	0.01	0	0.014	5.34E-11
AC007163.8	ENSG00000234842.1	0.11	0.06	0.066	1.36E-16
AC007182.6	ENSG00000224721.1	0.01	0.09	-0.11	2.00E-41
AC007191.4	ENSG00000279407.1	0.64	0.66	-0.017	2.91E-01
AC007193.10	ENSG00000269124.1	0	1.01	-1.007	2.14E-95
AC007228.11	ENSG00000269696.1	0.25	0.44	-0.204	8.13E-17
AC007229.3	ENSG00000267544.1	1.77	0.64	0.756	1.58E-87
AC007238.1	ENSG00000231043.3	0.33	0.26	0.078	3.20E-06
AC007246.3	ENSG00000231312.6	10.81	13.97	-0.342	2.42E-14
AC007248.7	ENSG00000236785.1	0	0.08	-0.111	1.11E-63
AC007249.3	ENSG00000217258.2	0.14	0	0.189	1.77E-16
AC007255.8	ENSG00000223813.2	0.22	0.23	-0.012	1.88E-02
AC007256.5	ENSG00000213090.2	0.03	0.11	-0.108	2.24E-44
AC007272.3	ENSG00000224672.4	0	0.05	-0.07	1.04E-21
AC007277.3	ENSG00000213981.8	0.01	0.04	-0.042	1.15E-09
AC007278.2	ENSG00000236525.1	0	0.67	-0.74	3.41E-105
AC007278.3	ENSG00000234389.1	0.04	2.81	-1.873	1.44E-147
AC007279.2	ENSG00000230799.1	0.08	0.13	-0.065	2.17E-12
AC007282.6	ENSG00000224299.1	0.09	0	0.124	3.26E-15
AC007283.5	ENSG00000234431.2	5	5.89	-0.2	4.67E-01
AC007285.6	ENSG00000227014.5	0.14	0.07	0.091	7.71E-17
AC007285.7	ENSG00000231519.1	0.09	0	0.124	3.00E-03
AC007292.3	ENSG00000269318.1	0.19	0.42	-0.255	1.88E-50
AC007292.6	ENSG00000267980.1	0.59	1.8	-0.816	1.49E-68
AC007318.5	ENSG00000172974.11	8.95	5.75	0.56	2.49E-31
AC007319.1	ENSG00000224063.5	0.31	0.79	-0.45	1.04E-05
