Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
BMPR2	ENSG00000204217.12	10.35	22.721	-1.063	3.36E-102
BMS1	ENSG00000165733.7	9.43	8.04	0.206	8.90E-07
BMS1P1	ENSG00000204177.10	1.06	1.58	-0.325	2.10E-12
BMS1P10	ENSG00000237238.2	1.27	2.41	-0.587	4.53E-24
BMS1P11	ENSG00000225883.2	0.09	0.61	-0.563	1.27E-51
BMS1P12	ENSG00000224599.1	0	0.12	-0.164	6.01E-17
BMS1P13	ENSG00000231701.1	0	0.19	-0.251	4.86E-43
BMS1P15	ENSG00000258780.1	0.2	0.03	0.22	4.86E-62
BMS1P2	ENSG00000251079.6	0.61	0.82	-0.177	2.54E-05
BMS1P20	ENSG00000236850.4	2.3	3.14	-0.327	2.30E-15
BMS1P22	ENSG00000232775.6	0.08	0	0.111	9.32E-24
BMS1P4	ENSG00000271816.1	0.7	1.16	-0.346	3.60E-21
BMS1P7	ENSG00000270025.2	0	0.27	-0.345	5.32E-12
BMS1P8	ENSG00000260518.1	0.4	0.18	0.247	3.60E-18
BMS1P9	ENSG00000198312.4	0.11	0.1	0.013	2.78E-01
BMX	ENSG00000102010.14	0.29	2.85	-1.578	1.06E-139
BNC1	ENSG00000169594.12	0.02	0.07	-0.069	3.74E-03
BNC2	ENSG00000173068.17	0.75	2.53	-1.012	1.56E-95
BNIP1	ENSG00000113734.17	12.1	9.68	0.295	1.69E-21
BNIP2	ENSG00000140299.11	25.189	42.01	-0.716	2.56E-75
BNIP3	ENSG00000176171.11	41	26.75	0.598	1.81E-22
BNIP3P1	ENSG00000197358.9	0.33	0.16	0.197	6.49E-14
BNIP3P10	ENSG00000270270.1	0.08	0.12	-0.052	1.49E-05
BNIP3P11	ENSG00000271550.1	0.9	0.48	0.36	1.15E-26
BNIP3P17	ENSG00000271524.1	0.29	0.28	0.011	7.46E-07
BNIP3P24	ENSG00000269040.1	0.04	0	0.057	4.66E-02
BNIP3P26	ENSG00000268705.1	0	0.11	-0.151	2.78E-16
BNIP3P28	ENSG00000271095.1	0	0.03	-0.043	1.18E-06
BNIP3P39	ENSG00000269662.1	0.1	0.06	0.053	5.19E-04
BNIP3P4	ENSG00000271225.1	0.12	0.07	0.066	9.10E-14
BNIP3P5	ENSG00000260571.1	0.33	0.93	-0.537	1.56E-44
BNIPL	ENSG00000163141.18	4	5.81	-0.446	4.94E-04
BOC	ENSG00000144857.14	2.6	6.99	-1.15	1.03E-64
BOD1	ENSG00000145919.10	30.999	33.481	-0.108	1.75E-01
BOD1L1	ENSG00000038219.12	12.56	19.71	-0.611	9.89E-44
BOK	ENSG00000176720.4	27.789	28.969	-0.058	4.59E-02
BOLA1	ENSG00000178096.8	24.76	13.42	0.837	1.77E-85
BOLA2	ENSG00000183336.7	14.79	6.6	1.055	8.27E-71
BOLA2B	ENSG00000169627.7	116.5	36.969	1.63	1.45E-156
BOLA2P2	ENSG00000271161.1	0.17	0.36	-0.217	5.66E-13
BOLA3	ENSG00000163170.11	40.689	24.21	0.726	3.31E-59
BOLA3-AS1	ENSG00000225439.2	0.9	1.58	-0.441	4.60E-18
BOP1	ENSG00000261236.5	29.1	19.37	0.563	3.95E-25
BORA	ENSG00000136122.15	3.32	1.98	0.536	1.97E-56
bP-21264C1.1	ENSG00000279208.1	0.39	4.35	-1.944	4.40E-127
bP-21264C1.2	ENSG00000278932.3	2.64	2.51	0.052	6.65E-02
bP-2171C21.4	ENSG00000279414.1	0.12	0.15	-0.038	1.38E-01
bP-2171C21.6	ENSG00000279720.1	0.31	0.3	0.011	1.39E-01
bP-2189O9.2	ENSG00000278931.1	0.14	2.11	-1.448	4.93E-135
BPGM	ENSG00000172331.11	17.66	12.07	0.514	7.14E-35
BPHL	ENSG00000137274.12	23.441	8.7	1.333	1.13E-142
BPI	ENSG00000101425.12	0.3	1.36	-0.86	7.93E-65
BPIFA1	ENSG00000198183.11	11.96	0.76	2.88	1.04E-34
BPIFA2	ENSG00000131050.10	0.56	0.07	0.544	4.18E-31
BPIFB1	ENSG00000125999.10	24.299	7.7	1.54	1.76E-06
BPIFB2	ENSG00000078898.6	0.31	0.03	0.347	8.29E-22
BPIFB4	ENSG00000186191.7	0.07	0	0.098	1.37E-15
BPIFB9P	ENSG00000125997.5	0.03	0.05	-0.028	4.76E-02
BPNT1	ENSG00000162813.17	25.109	10.78	1.148	3.91E-115
BPTF	ENSG00000171634.16	27.88	30.12	-0.108	3.64E-03
BRAF	ENSG00000157764.12	8.23	13.15	-0.616	6.87E-37
BRAFP1	ENSG00000224775.2	0	0.02	-0.029	5.83E-09
BRAP	ENSG00000089234.15	9.9	8.2	0.245	4.21E-21
BRAT1	ENSG00000106009.15	22.73	20.54	0.14	6.59E-07
BRCA1	ENSG00000012048.19	4.08	2.07	0.727	6.92E-47
BRCA2	ENSG00000139618.14	1.53	0.98	0.354	2.14E-16
BRCC3	ENSG00000185515.14	14.21	7.1	0.909	2.54E-107
BRD1	ENSG00000100425.18	13.95	19.08	-0.426	4.92E-24
BRD2	ENSG00000204256.12	120.558	185.014	-0.614	2.89E-32
BRD2-IT1	ENSG00000223837.2	0.22	0.79	-0.553	1.92E-43
BRD3	ENSG00000169925.16	9.89	10.84	-0.121	2.77E-03
BRD4	ENSG00000141867.17	20.23	31.53	-0.616	4.58E-44
BRD7	ENSG00000166164.15	45.889	39.091	0.226	3.02E-14
BRD7P2	ENSG00000184100.6	0.24	0.19	0.059	3.54E-06
BRD7P4	ENSG00000218676.1	0.02	0.04	-0.028	1.73E-10
BRD8	ENSG00000112983.17	23.99	33.43	-0.462	2.34E-19
BRD9	ENSG00000028310.17	25.08	28.521	-0.179	2.17E-01
BRD9P2	ENSG00000249908.2	0.63	1.71	-0.733	2.17E-11
BRDT	ENSG00000137948.18	0.11	0.03	0.108	1.72E-24
BRE	ENSG00000158019.20	29.441	28.43	0.049	1.03E-01
BRF1	ENSG00000185024.15	15.77	18.8	-0.24	1.05E-09
BRF2	ENSG00000104221.12	9.38	8.41	0.141	3.68E-14
BRI3	ENSG00000164713.9	205.714	330.429	-0.681	3.69E-38
BRI3BP	ENSG00000184992.10	5.62	1.91	1.186	3.11E-133
BRICD5	ENSG00000182685.7	3.03	13.81	-1.878	1.13E-81
BRINP2	ENSG00000198797.6	0.03	0.05	-0.028	6.11E-02
BRINP3	ENSG00000162670.10	0.21	0.76	-0.541	5.70E-34
BRIP1	ENSG00000136492.8	1.27	0.28	0.827	8.56E-55
BRIX1	ENSG00000113460.12	32.91	15.28	1.059	3.88E-109
BRK1	ENSG00000254999.3	132.504	146.463	-0.143	3.78E-04
BRMS1	ENSG00000174744.13	43.6	32.91	0.395	1.76E-41
BROX	ENSG00000162819.11	25.679	14.96	0.741	1.90E-72
BRPF1	ENSG00000156983.15	7.69	11.35	-0.507	1.35E-40
BRPF3	ENSG00000096070.19	17.81	13.13	0.413	5.70E-19
BRSK1	ENSG00000160469.16	1.94	2.03	-0.044	1.13E-02
BRWD1	ENSG00000185658.13	9.6	13.3	-0.432	2.64E-24
BRWD1-AS2	ENSG00000255568.3	0.51	0.33	0.183	3.31E-18
BRWD3	ENSG00000165288.10	2.44	3.53	-0.397	1.15E-19
BSCL2	ENSG00000168000.14	86.551	46.791	0.873	3.94E-52
BSG	ENSG00000172270.18	468.238	353.679	0.404	4.22E-24
BSN	ENSG00000164061.4	0.08	0.15	-0.091	2.54E-03
BSND	ENSG00000162399.6	0.01	0.02	-0.014	1.56E-01
BSPRY	ENSG00000119411.10	15.93	7.01	1.08	3.89E-89
BST1	ENSG00000109743.10	4.64	13.25	-1.337	1.23E-97
BST2	ENSG00000130303.12	177.219	136.352	0.376	2.54E-02
BTAF1	ENSG00000095564.13	6.88	21.18	-1.493	1.35E-102
BTBD1	ENSG00000064726.9	22.34	23.54	-0.072	1.32E-01
BTBD10	ENSG00000148925.10	14.04	12.45	0.161	8.34E-12
BTBD10P2	ENSG00000219433.2	0.05	0.13	-0.106	1.03E-38
BTBD11	ENSG00000151136.14	0.61	0.4	0.202	6.88E-16
BTBD16	ENSG00000138152.8	0.28	0.25	0.034	4.92E-05
BTBD18	ENSG00000233436.7	0.02	0.05	-0.042	2.89E-22
BTBD19	ENSG00000222009.8	2.17	12.2	-2.058	7.16E-144
BTBD2	ENSG00000133243.8	47.629	50.73	-0.089	2.26E-01
BTBD3	ENSG00000132640.14	7.93	12.03	-0.545	1.17E-25
BTBD6	ENSG00000184887.13	40.43	39.229	0.042	4.74E-04
BTBD6P1	ENSG00000229106.1	0.03	0	0.043	1.22E-04
BTBD7	ENSG00000011114.14	7.65	8.59	-0.149	1.28E-05
BTBD7P1	ENSG00000203414.2	0.06	0.04	0.027	1.99E-15
BTBD8	ENSG00000189195.9	0.38	0.28	0.109	2.00E-08
BTBD9	ENSG00000183826.16	7.67	5.8	0.35	1.26E-09
BTC	ENSG00000174808.11	3.62	2.45	0.421	5.24E-16
BTD	ENSG00000169814.12	11.82	10.37	0.173	5.20E-06
BTF3	ENSG00000145741.15	531.932	468.952	0.181	4.69E-09
BTF3L4	ENSG00000134717.17	42.399	25.1	0.734	2.70E-90
BTF3L4P1	ENSG00000232260.2	0.1	0	0.138	2.48E-21
BTF3L4P2	ENSG00000213189.5	45.241	20.81	1.084	4.76E-107
BTF3L4P3	ENSG00000213108.3	0.08	0	0.111	4.27E-33
BTF3P10	ENSG00000231120.3	0.04	0.14	-0.132	2.91E-22
BTG1	ENSG00000133639.4	52.279	81.939	-0.638	4.51E-28
BTG1P1	ENSG00000256720.1	0.07	0.44	-0.428	6.89E-67
BTG2	ENSG00000159388.5	56.488	104.473	-0.876	3.99E-33
BTG3	ENSG00000154640.14	45.569	50.492	-0.145	1.48E-01
BTG4	ENSG00000137707.13	0.05	0.07	-0.027	8.04E-06
BTK	ENSG00000010671.15	7.02	22.8	-1.569	1.02E-131
BTLA	ENSG00000186265.9	0.84	0.72	0.097	1.38E-04
BTN1A1	ENSG00000124557.12	0.04	0.02	0.028	1.14E-06
BTN2A1	ENSG00000112763.15	13.07	25.4	-0.908	2.08E-83
BTN2A2	ENSG00000124508.16	10.35	15.43	-0.534	7.58E-34
BTN2A3P	ENSG00000124549.14	1.49	3.18	-0.747	1.56E-66
BTN3A1	ENSG00000026950.16	21.54	33.139	-0.599	3.39E-32
BTN3A2	ENSG00000186470.13	25.06	34.731	-0.455	9.99E-16
BTN3A3	ENSG00000111801.15	15.68	28.489	-0.822	8.31E-54
BTNL3	ENSG00000168903.8	0	0.14	-0.189	3.09E-43
BTNL8	ENSG00000113303.11	0.15	3.08	-1.827	4.96E-153
BTNL9	ENSG00000165810.16	1.4	142.596	-5.903	4.58E-295
BTRC	ENSG00000166167.17	5.08	4.71	0.091	6.96E-02
BUB1	ENSG00000169679.14	6.55	1.14	1.819	1.06E-111
BUB1B	ENSG00000156970.12	4.4	0.94	1.477	3.86E-76
BUB3	ENSG00000154473.17	45.8	40.001	0.191	1.74E-11
BUD13	ENSG00000137656.11	11.49	12.85	-0.149	6.95E-02
BUD13P1	ENSG00000270689.1	0.04	0.25	-0.265	1.63E-57
BUD31	ENSG00000106245.9	96.442	72.972	0.398	7.01E-41
BVES	ENSG00000112276.13	0.45	1.84	-0.97	2.56E-112
BVES-AS1	ENSG00000203808.10	0.05	0.2	-0.193	2.76E-10
BX255923.3	ENSG00000276462.1	0.02	0.05	-0.042	1.30E-11
BX322557.10	ENSG00000215447.7	1.7	2.09	-0.195	1.39E-02
BX470102.3	ENSG00000238279.1	1.34	2.6	-0.622	2.87E-12
BX842568.2	ENSG00000223723.1	0.08	0.21	-0.164	1.81E-08
BYSL	ENSG00000112578.9	18.04	7.64	1.14	5.18E-92
BZRAP1	ENSG00000005379.15	6.6	20.09	-1.472	2.79E-62
BZRAP1-AS1	ENSG00000265148.5	0.91	1.7	-0.499	6.85E-43
BZW1	ENSG00000082153.17	120.918	64.601	0.894	5.04E-63
BZW1P2	ENSG00000198406.7	18.67	8.26	1.087	5.55E-43
BZW2	ENSG00000136261.14	62.309	24.19	1.33	2.93E-127
C10orf10	ENSG00000165507.8	53.731	280.78	-2.364	4.20E-109
C10orf105	ENSG00000214688.4	0.05	0.56	-0.571	3.19E-125
C10orf107	ENSG00000183346.6	0.65	1.72	-0.721	2.77E-20
C10orf11	ENSG00000148655.14	17.321	17.689	-0.029	4.66E-02
C10orf111	ENSG00000176236.6	0.18	0.17	0.012	1.88E-03
C10orf12	ENSG00000155640.6	1.15	0.99	0.112	6.86E-06
C10orf128	ENSG00000204161.13	8.23	23.11	-1.385	1.31E-90
C10orf131	ENSG00000173088.12	0.06	0.25	-0.238	6.18E-61
C10orf142	ENSG00000277288.3	0.05	0.17	-0.156	1.16E-13
C10orf2	ENSG00000107815.7	5.64	2.41	0.961	2.83E-85
C10orf25	ENSG00000165511.6	0.79	1.56	-0.516	2.06E-54
C10orf32	ENSG00000166275.15	14.53	18.72	-0.345	1.18E-22
C10orf35	ENSG00000171224.8	15.38	5.29	1.381	7.60E-142
C10orf54	ENSG00000107738.19	28.15	106.883	-1.888	7.61E-168
C10orf55	ENSG00000222047.8	0.36	0.39	-0.031	2.97E-01
C10orf62	ENSG00000203942.4	0	0.04	-0.057	3.80E-30
C10orf67	ENSG00000179133.11	0.07	1.11	-0.98	4.16E-112
C10orf76	ENSG00000120029.12	11.48	15.37	-0.391	9.26E-45
C10orf88	ENSG00000119965.12	4.59	4.05	0.147	1.39E-14
C10orf90	ENSG00000154493.17	0.02	0	0.029	3.10E-07
C10orf91	ENSG00000180066.9	0.23	0.09	0.174	7.52E-24
C10orf95	ENSG00000120055.7	2	2.33	-0.151	6.77E-02
C11orf1	ENSG00000137720.7	33.59	17.31	0.918	9.43E-80
C11orf16	ENSG00000176029.13	0.45	0.91	-0.398	1.06E-08
C11orf21	ENSG00000110665.11	0.7	5.21	-1.869	3.92E-169
C11orf24	ENSG00000171067.10	32.219	24.14	0.402	3.48E-22
C11orf30	ENSG00000158636.16	6.13	10.18	-0.649	3.19E-54
C11orf31	ENSG00000211450.9	126.202	97.072	0.375	4.27E-27
C11orf42	ENSG00000180878.2	0.03	0.06	-0.041	8.65E-14
C11orf45	ENSG00000174370.9	1.23	1.4	-0.106	4.70E-01
C11orf49	ENSG00000149179.13	29.229	22.461	0.366	9.64E-21
C11orf52	ENSG00000149300.9	15.519	8.5	0.798	2.91E-37
C11orf53	ENSG00000150750.6	0.05	0.07	-0.027	9.34E-09
C11orf54	ENSG00000182919.14	18.17	16.56	0.127	1.53E-08
C11orf57	ENSG00000150776.17	13.53	10.44	0.345	4.26E-25
C11orf58	ENSG00000110696.9	123.733	107.187	0.205	1.42E-08
C11orf63	ENSG00000109944.10	2.09	3.08	-0.401	1.02E-20
C11orf65	ENSG00000166323.12	0.55	0.5	0.047	4.29E-02
C11orf68	ENSG00000175573.6	27.029	33.309	-0.292	1.23E-13
C11orf70	ENSG00000137691.12	3.39	2.57	0.298	2.55E-02
C11orf73	ENSG00000149196.15	35.921	31.31	0.192	4.12E-14
C11orf74	ENSG00000166352.15	13.1	12.15	0.101	1.08E-01
C11orf80	ENSG00000173715.15	17.54	9.49	0.822	1.90E-77
C11orf84	ENSG00000168005.8	14.75	13.88	0.082	9.75E-02
C11orf85	ENSG00000168070.11	0.15	0.13	0.025	5.81E-11
C11orf86	ENSG00000173237.4	0.31	0	0.39	9.00E-37
C11orf87	ENSG00000185742.6	0	0.02	-0.029	6.61E-07
C11orf88	ENSG00000183644.13	0.63	3.07	-1.32	5.98E-17
C11orf91	ENSG00000205177.6	0.05	0.44	-0.456	6.25E-62
C11orf94	ENSG00000234776.4	0.11	0.14	-0.038	1.98E-02
C11orf95	ENSG00000188070.9	3.56	5.59	-0.531	2.31E-28
C11orf96	ENSG00000187479.5	21.529	188.313	-3.071	1.08E-150
C11orf97	ENSG00000257057.1	0.13	0.62	-0.52	1.63E-16
C11orf98	ENSG00000278615.4	94.098	53.571	0.801	4.41E-88
C12orf10	ENSG00000139637.13	39.84	34.859	0.188	1.92E-12
C12orf29	ENSG00000133641.17	8.81	7.77	0.162	5.08E-07
C12orf4	ENSG00000047621.11	6.47	5.96	0.102	1.29E-06
C12orf42	ENSG00000179088.14	0.17	0.07	0.129	1.69E-13
C12orf43	ENSG00000157895.11	8.29	8.56	-0.041	5.42E-03
C12orf45	ENSG00000151131.9	25.12	11.91	1.017	3.07E-128
C12orf50	ENSG00000165805.9	0.01	0.04	-0.042	4.09E-23
C12orf54	ENSG00000177627.9	0.11	0.39	-0.325	3.84E-18
C12orf56	ENSG00000185306.12	0.19	0.02	0.222	2.44E-34
C12orf57	ENSG00000111678.10	175.277	222.043	-0.339	2.12E-07
C12orf60	ENSG00000182993.3	0.82	1.11	-0.213	3.86E-08
C12orf65	ENSG00000130921.7	13.86	11.01	0.307	6.17E-35
C12orf66	ENSG00000174206.12	4.43	2.97	0.452	2.67E-52
C12orf71	ENSG00000214700.5	0.05	0.17	-0.156	1.99E-39
C12orf73	ENSG00000204954.9	7.7	6.69	0.178	1.88E-16
C12orf74	ENSG00000214215.3	0.22	0.05	0.216	8.58E-21
C12orf75	ENSG00000235162.8	13.23	12	0.13	7.43E-05
C12orf76	ENSG00000174456.13	14.07	18.47	-0.37	6.20E-09
C12orf79	ENSG00000257242.6	0.41	1.58	-0.872	1.13E-71
C12orf80	ENSG00000257137.5	0.05	0	0.07	1.09E-14
C14orf1	ENSG00000133935.6	25.1	22.371	0.159	1.50E-15
C14orf105	ENSG00000100557.9	0.1	0	0.138	3.47E-23
C14orf119	ENSG00000179933.5	61.469	44.111	0.47	1.74E-53
C14orf132	ENSG00000227051.5	1.75	14.1	-2.457	1.21E-196
C14orf142	ENSG00000170270.4	12.8	9.4	0.408	2.78E-24
C14orf159	ENSG00000133943.20	20.31	35.991	-0.796	3.46E-55
C14orf166	ENSG00000087302.8	171.944	118.331	0.535	3.02E-60
C14orf169	ENSG00000170468.7	7.32	3.9	0.764	4.54E-92
C14orf180	ENSG00000184601.10	0.02	0.24	-0.282	1.29E-63
C14orf2	ENSG00000156411.9	128.052	102.871	0.313	8.01E-26
C14orf28	ENSG00000179476.7	2.17	3.19	-0.402	9.98E-34
C14orf37	ENSG00000139971.15	0.92	0.86	0.046	6.34E-05
C14orf39	ENSG00000179008.8	0.04	0	0.057	6.64E-12
C14orf79	ENSG00000140104.13	8.58	6.37	0.378	1.29E-14
C14orf80	ENSG00000185347.17	9.61	8.37	0.179	1.94E-03
C14orf93	ENSG00000100802.14	6.85	7.15	-0.054	6.94E-02
C15orf26	ENSG00000156206.13	0.18	1.42	-1.036	1.26E-78
C15orf27	ENSG00000169758.12	0.73	2.2	-0.887	2.27E-102
C15orf38-AP3S2	ENSG00000250021.7	13.79	10.6	0.351	5.80E-27
C15orf39	ENSG00000167173.18	15.28	16.9	-0.137	6.71E-03
C15orf40	ENSG00000169609.13	16.33	13.99	0.209	1.71E-16
C15orf41	ENSG00000186073.11	2.59	2.18	0.175	1.40E-11
C15orf48	ENSG00000166920.10	58.181	5.5	3.187	5.19E-112
C15orf52	ENSG00000188549.12	4.75	18.07	-1.73	4.14E-101
C15orf54	ENSG00000175746.6	0.04	0.02	0.028	1.51E-05
C15orf56	ENSG00000176753.5	0.47	0.29	0.188	2.94E-24
C15orf59	ENSG00000205363.5	1.01	4.68	-1.499	5.54E-72
C15orf61	ENSG00000189227.5	2.01	3.1	-0.446	5.79E-47
C15orf62	ENSG00000188277.9	1.29	1.76	-0.269	9.58E-07
C15orf65	ENSG00000261652.2	3.02	2.23	0.316	6.71E-18
C16orf13	ENSG00000130731.15	93.493	64.021	0.539	4.59E-36
C16orf45	ENSG00000166780.10	6.19	14.94	-1.149	8.11E-63
C16orf46	ENSG00000166455.13	1.28	1.04	0.16	1.59E-04
C16orf52	ENSG00000185716.11	5.81	11.16	-0.836	1.02E-89
C16orf58	ENSG00000140688.16	54.579	55.291	-0.018	2.29E-02
C16orf59	ENSG00000162062.14	4.45	0.66	1.715	1.17E-131
C16orf62	ENSG00000103544.14	24.65	24.16	0.028	6.14E-02
C16orf70	ENSG00000125149.11	10.56	10.82	-0.032	4.55E-01
C16orf71	ENSG00000166246.13	1.89	1.02	0.517	7.81E-05
C16orf72	ENSG00000182831.11	13.89	16.71	-0.25	1.82E-14
C16orf74	ENSG00000154102.10	3.4	2.17	0.473	3.13E-18
C16orf86	ENSG00000159761.14	1.44	4.84	-1.259	6.69E-151
C16orf87	ENSG00000155330.9	5.35	3.92	0.368	6.26E-29
C16orf89	ENSG00000153446.15	105.733	73.75	0.514	8.59E-02
C16orf91	ENSG00000174109.4	16.29	9.38	0.736	2.12E-78
C16orf93	ENSG00000196118.11	5.19	6.81	-0.335	1.28E-10
C16orf95	ENSG00000260456.6	2.85	2.03	0.346	9.96E-26
C16orf96	ENSG00000205832.7	0.05	0.09	-0.054	2.37E-01
C17orf100	ENSG00000256806.3	2.16	1.34	0.433	4.44E-53
C17orf105	ENSG00000231256.7	0.01	0.02	-0.014	4.67E-13
C17orf107	ENSG00000205710.3	1.91	1.79	0.061	6.71E-02
C17orf47	ENSG00000181013.3	0.03	0.15	-0.159	5.61E-53
C17orf49	ENSG00000258315.5	79.39	75.619	0.069	1.99E-06
C17orf50	ENSG00000270806.1	0.16	0.15	0.012	5.10E-05
C17orf51	ENSG00000212719.10	1.12	2.32	-0.647	2.65E-64
C17orf53	ENSG00000125319.14	2.53	0.75	1.012	5.66E-78
C17orf58	ENSG00000186665.8	10.94	4.63	1.085	1.90E-119
C17orf59	ENSG00000196544.7	4.75	6.04	-0.292	2.09E-08
C17orf62	ENSG00000178927.16	82.813	67.719	0.286	8.05E-10
C17orf64	ENSG00000141371.12	0.15	0.11	0.051	5.41E-10
C17orf67	ENSG00000214226.8	0.79	1.64	-0.561	2.03E-48
C17orf75	ENSG00000108666.9	13.6	8.77	0.58	7.73E-63
C17orf78	ENSG00000278505.4	0.01	0	0.014	1.47E-01
C17orf80	ENSG00000141219.15	8.06	6.95	0.189	3.53E-14
C17orf82	ENSG00000187013.4	0.39	1.74	-0.979	6.81E-118
C17orf85	ENSG00000074356.16	14.65	23.569	-0.651	5.31E-38
C17orf89	ENSG00000224877.3	59.288	35.589	0.72	3.50E-68
C17orf96	ENSG00000273604.1	2	1	0.585	2.50E-45
C17orf99	ENSG00000187997.11	0.07	0.13	-0.079	9.73E-04
C18orf21	ENSG00000141428.16	17.9	14.46	0.29	1.77E-34
C18orf25	ENSG00000152242.10	6.73	9.31	-0.415	1.85E-28
C18orf32	ENSG00000177576.10	52.461	49.731	0.076	3.97E-05
C18orf54	ENSG00000166845.13	0.78	0.96	-0.139	4.11E-03
C18orf63	ENSG00000206043.6	0.01	0.04	-0.042	1.57E-23
C18orf65	ENSG00000275763.3	0.16	0.08	0.103	1.92E-26
C18orf8	ENSG00000141452.9	20.559	37.211	-0.826	6.00E-73
C19orf18	ENSG00000177025.3	0.52	0.92	-0.337	3.80E-13
C19orf24	ENSG00000228300.13	56.559	39.99	0.49	4.63E-35
C19orf33	ENSG00000167644.11	195.631	98.981	0.976	7.01E-11
C19orf35	ENSG00000188305.5	0.26	0.99	-0.659	9.07E-85
C19orf38	ENSG00000214212.8	2.4	5.61	-0.959	5.63E-69
C19orf43	ENSG00000123144.10	110.721	171.099	-0.623	1.66E-52
C19orf44	ENSG00000105072.8	2.75	4.2	-0.472	5.30E-28
C19orf45	ENSG00000198723.10	0.48	0.56	-0.076	8.58E-02
C19orf47	ENSG00000160392.13	9.7	9.16	0.075	4.91E-09
C19orf48	ENSG00000167747.13	31.12	15.04	1.002	2.58E-73
C19orf52	ENSG00000142444.6	12.49	11.01	0.168	1.22E-19
C19orf53	ENSG00000104979.8	142.349	107.432	0.403	3.70E-34
C19orf54	ENSG00000188493.14	7.28	11.29	-0.57	1.13E-38
C19orf57	ENSG00000132016.11	1.32	1.42	-0.061	1.56E-02
C19orf60	ENSG00000006015.17	30.181	55.741	-0.864	3.44E-44
C19orf66	ENSG00000130813.17	19.86	46.879	-1.199	1.20E-90
C19orf67	ENSG00000188032.9	0.03	0.04	-0.014	1.47E-03
C19orf68	ENSG00000185453.12	3.09	3.48	-0.131	6.57E-06
C19orf70	ENSG00000174917.8	58.149	55.529	0.065	6.61E-05
C19orf71	ENSG00000183397.5	0.75	2.57	-1.029	1.94E-66
C19orf73	ENSG00000221916.3	1.22	1.09	0.087	8.56E-07
C19orf80	ENSG00000130173.13	0.08	0.35	-0.322	6.47E-47
C19orf81	ENSG00000235034.6	0.16	0.42	-0.292	8.74E-02
C19orf84	ENSG00000262874.1	0.13	0.15	-0.025	1.11E-04
C1D	ENSG00000197223.11	24.721	23.97	0.043	1.38E-03
C1DP1	ENSG00000231245.2	2.63	1.75	0.401	1.32E-05
C1GALT1	ENSG00000106392.10	16.93	8.69	0.888	1.77E-49
C1GALT1C1	ENSG00000171155.7	26.11	14.06	0.848	1.10E-99
C1GALT1C1L	ENSG00000223658.6	0.56	0.25	0.32	1.18E-28
C1GALT1P1	ENSG00000257818.1	0.11	0.27	-0.194	9.53E-17
C1GALT1P2	ENSG00000251435.1	0	0.06	-0.084	5.77E-43
C1orf100	ENSG00000173728.10	0.12	0.18	-0.075	6.82E-05
C1orf101	ENSG00000179397.17	0.31	0.6	-0.288	3.08E-32
C1orf105	ENSG00000180999.10	0.06	0	0.084	1.76E-18
C1orf106	ENSG00000163362.10	29.229	3.97	2.605	1.11E-163
C1orf109	ENSG00000116922.14	12.3	9.04	0.406	7.58E-31
C1orf110	ENSG00000185860.13	0.09	0.39	-0.351	8.88E-08
C1orf111	ENSG00000171722.11	0.14	0.08	0.078	1.38E-12
C1orf112	ENSG00000000460.16	4.82	2.06	0.927	5.43E-92
C1orf115	ENSG00000162817.6	6.41	20.069	-1.508	3.62E-93
C1orf116	ENSG00000182795.12	43.591	37.219	0.222	6.01E-02
C1orf122	ENSG00000197982.13	43.7	33.84	0.36	2.02E-21
C1orf123	ENSG00000162384.13	37.65	55.18	-0.54	6.02E-46
C1orf127	ENSG00000175262.14	0.38	0.31	0.075	1.01E-08
C1orf131	ENSG00000143633.12	12.81	9.94	0.336	2.02E-25
C1orf132	ENSG00000203709.9	0.37	1.57	-0.908	1.52E-63
C1orf140	ENSG00000234754.1	0	0.11	-0.151	2.82E-62
C1orf141	ENSG00000203963.11	0.02	0.1	-0.109	5.92E-08
C1orf145	ENSG00000162913.9	0.48	1.63	-0.829	2.27E-58
C1orf147	ENSG00000162888.4	0.12	0.3	-0.215	1.28E-35
C1orf158	ENSG00000157330.9	0.1	0.42	-0.368	3.59E-13
C1orf159	ENSG00000131591.17	7.31	11.51	-0.59	3.41E-18
C1orf162	ENSG00000143110.11	23.24	74.012	-1.63	4.53E-106
C1orf167	ENSG00000215910.7	1.56	5.03	-1.236	1.44E-43
C1orf168	ENSG00000187889.12	0.59	2.19	-1.005	3.19E-33
C1orf174	ENSG00000198912.10	15.26	16.1	-0.073	4.90E-01
C1orf177	ENSG00000162398.11	0.11	0.09	0.026	6.56E-07
C1orf186	ENSG00000263961.6	3.18	5.48	-0.632	1.00E-13
C1orf189	ENSG00000163263.6	0.2	0.5	-0.322	6.36E-06
C1orf194	ENSG00000179902.12	1.77	6.18	-1.374	1.79E-12
C1orf198	ENSG00000119280.16	31.91	60.551	-0.903	4.15E-50
C1orf204	ENSG00000188004.9	0.85	1.66	-0.524	2.00E-41
C1orf21	ENSG00000116667.12	17.14	33.011	-0.907	5.88E-42
C1orf210	ENSG00000253313.5	18.89	10.4	0.803	7.51E-49
C1orf216	ENSG00000142686.7	6.12	9.68	-0.585	5.95E-47
C1orf220	ENSG00000213057.5	0.23	0.15	0.097	1.52E-06
C1orf226	ENSG00000239887.4	6.91	3	0.984	1.52E-58
