"Gene"	"log2FC"	"FDR"
"381"	"MRPS18A"	-0.946724892219276	6.24150624183912e-09
"382"	"LGR4"	-1.30321123505228	6.35182276840991e-09
"383"	"DAB2"	1.74706067330864	6.35182276840991e-09
"384"	"HIST1H2BK"	-1.03437979750867	6.47537194378805e-09
"385"	"CCDC48"	0.800114269659506	6.47537194378805e-09
"386"	"SYNM"	0.92673306053594	6.50625021856913e-09
"387"	"PPM1G"	-1.15452620122989	6.77897461656945e-09
"388"	"STYXL1"	-0.918070805636047	6.8278158310569e-09
"389"	"PEBP4"	0.922592868958212	6.92627127333512e-09
"390"	"TCTEX1D1"	1.93091291546713	6.97525897947376e-09
"391"	"SLC6A17"	2.94725732581302	6.97525897947376e-09
"392"	"GSK3B"	1.06044800330759	7.02360406882975e-09
"393"	"CDH2"	1.48754552077786	7.11950413672587e-09
"394"	"LY96"	-1.91110138558669	7.23100675931883e-09
"395"	"SYVN1"	-0.826240803156147	7.4017253467308e-09
"396"	"USP1"	-0.81496441776455	7.4017253467308e-09
"397"	"PLIN3"	-0.909457147638217	7.45755902772919e-09
"398"	"HOXC13"	2.57972287051168	7.46748712946526e-09
"399"	"AJAP1"	1.90345862119573	7.58496956857709e-09
"400"	"TBX4"	1.23417191154757	7.58496956857709e-09
"401"	"MAP3K9"	-1.21721933606312	7.75788201819766e-09
"402"	"CHRNB1"	-1.20285285085115	7.78020121742053e-09
"403"	"C6orf170"	-1.31946619340798	7.94591960723487e-09
"404"	"TSGA10"	-1.04053142165108	8.05599851674361e-09
"405"	"APEX1"	-1.08019010789614	8.4165561030197e-09
"406"	"ICMT"	-1.30304860581671	9.01461715771746e-09
"407"	"PIGC"	-1.61421859366787	9.18927085979155e-09
"408"	"C2orf40"	1.55757770828317	9.25265952450278e-09
"409"	"NLRP4"	-1.27341021058915	9.25265952450278e-09
"410"	"IQCK"	-1.63391627415724	9.25265952450278e-09
"411"	"BPIL1"	-1.35328798657831	9.46570141375137e-09
"412"	"PSMB2"	-1.08600240716579	9.68953423179231e-09
"413"	"PCDHGA3"	1.12064414554244	1.08772630634292e-08
"414"	"TTC39B"	-1.31195864656443	1.10883309108883e-08
"415"	"ADAMTS16"	-3.19611055081281	1.10883309108883e-08
"416"	"YDJC"	-1.00127524891884	1.11205124918758e-08
"417"	"SULT2B1"	-1.1387784312478	1.15081811020113e-08
"418"	"SLC2A3"	1.76603823864994	1.15789735642714e-08
"419"	"C2orf60"	-1.08374682128752	1.19891697206495e-08
"420"	"BST1"	1.58516496297706	1.20251639822589e-08
"421"	"C1orf35"	-0.879409774079857	1.24029347589225e-08
"422"	"VTI1A"	-1.25918047156243	1.24453965280602e-08
"423"	"NOTCH1"	1.02535878717688	1.25956264496092e-08
"424"	"CLTCL1"	-1.27038438630249	1.25956264496092e-08
"425"	"NDUFS1"	-1.14078217916907	1.26243418488736e-08
"426"	"EIF2AK1"	-1.84930600724827	1.31320079520282e-08
"427"	"TMEM39A"	-1.42572908068728	1.31320079520282e-08
"428"	"EIF3IP1"	-1.5629602643827	1.34250067697218e-08
"429"	"TSTD1"	-1.06831205266359	1.34286469724079e-08
"430"	"HCFC1R1"	-0.737816370966105	1.34286469724079e-08
"431"	"BTF3"	-0.819319694065135	1.36271492020973e-08
"432"	"NUP43"	-0.881019604667396	1.38881269438233e-08
"433"	"CYFIP1"	-1.32064778347476	1.403562560937e-08
"434"	"SNTG2"	-1.68765909371368	1.41511093966132e-08
"435"	"GRID2IP"	-0.968564556085824	1.41663255302915e-08
"436"	"LRRC4C"	1.05642491677709	1.42558240923428e-08
"437"	"PFDN6"	-0.872981100733521	1.45240289767616e-08
"438"	"ENDOD1"	-1.36218902213321	1.49499807206274e-08
"439"	"DAPP1"	-1.69088535961045	1.49819389213014e-08
