"ID"	"Gene.symbol"	"logFC"	"adj.P.Val"
"329"	"201752_s_at"	"ADD3"	0.375821137284738	1.41250107880043e-10
"330"	"217380_s_at"	"ADD3-AS1"	0.617483158155287	3.97645107572357e-09
"331"	"220614_s_at"	"ADGB"	-0.0998956818433197	0.175819594359426
"332"	"239221_at"	"ADGRA1"	0.670495297326926	0.00589023931483549
"333"	"221814_at"	"ADGRA2"	-0.338410822873183	0.149267514729245
"334"	"210473_s_at"	"ADGRA3"	-0.395071404592118	4.2087105818696e-10
"335"	"206083_at"	"ADGRB1"	0.413571580434397	0.017808874459919
"336"	"204966_at"	"ADGRB2"	0.0797733886269985	0.504903630274931
"337"	"205638_at"	"ADGRB3"	0.142778677764134	0.692159106532428
"338"	"232267_at"	"ADGRD1"	0.320840457624336	0.253546636923275
"339"	"216289_at"	"ADGRD2"	0.403763409668895	0.0647030110151668
"340"	"207111_at"	"ADGRE1"	-0.514039192117804	0.0218366296749473
"341"	"232009_at"	"ADGRE2"	0.243436060383823	0.078806506206527
"342"	"210724_at"	"ADGRE3"	0.0626954134659465	0.871139602844142
"343"	"202910_s_at"	"ADGRE5"	0.103489988228169	0.274903052131767
"344"	"238689_at"	"ADGRF1"	0.365355249204706	1.34591614931132e-05
"345"	"1553036_at"	"ADGRF2"	-0.323589414791062	0.180729710609343
"346"	"1553016_at"	"ADGRF3"	0.25414333316285	0.312352832009642
"347"	"237690_at"	"ADGRF4"	-0.700906073989692	9.28416263527168e-05
"348"	"212951_at"	"ADGRF5"	0.543605838011636	1.69310251312567e-05
"349"	"212070_at"	"ADGRG1"	0.215365912768034	0.000748371989506953
"350"	"206002_at"	"ADGRG2"	-0.1541703394246	0.595905923395862
"351"	"220404_at"	"ADGRG3"	-0.298475589825041	0.120735061738572
"352"	"1553006_at"	"ADGRG4"	0.27386990682258	0.274185250868358
"353"	"1555447_at"	"ADGRG5"	0.263231841817759	0.0577141199880195
"354"	"213094_at"	"ADGRG6"	-0.138160909704985	0.295979601986731
"355"	"1553296_at"	"ADGRG7"	-0.0365115816690924	0.943108709956042
"356"	"219145_at"	"ADGRL1"	-0.0502068198057231	0.572470886921503
"357"	"1569850_at"	"ADGRL2"	0.39264954039131	0.129367696577506
"358"	"209866_s_at"	"ADGRL3"	-0.46010190399937	0.0845872412325247
"359"	"219134_at"	"ADGRL4"	-0.300211974664053	0.378996829804113
"360"	"215396_at"	"ADGRV1"	0.529771049445772	0.0112289727271721
"361"	"207820_at"	"ADH1A"	0.203720729232203	0.0694095808532723
"362"	"243544_at"	"ADH1B"	0.185950419312542	0.581874442097613
"363"	"206262_at"	"ADH1C"	0.222625507084388	0.0972687649787674
"364"	"231675_s_at"	"ADH4"	0.444040354511314	0.0691057558002598
"365"	"208847_s_at"	"ADH5"	0.0852455677702384	0.103625360344331
"366"	"207544_s_at"	"ADH6"	0.466571048038036	9.65115947580999e-05
"367"	"210505_at"	"ADH7"	2.65853418695911	5.91514740576065e-49
"368"	"227113_at"	"ADHFE1"	-0.0940614667369761	0.34240341021917
